area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Sadduguntepalya,2 BHK,Jaanaa ,1200,2,2,103
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1410,2,3,78.06
Plot  Area,Ready To Move,Chandapura,4 Bedroom,Cangse ,1200,5,2,120
Plot  Area,Ready To Move,Jalahalli,3 Bedroom,,600,3,2,88
Built-up  Area,18-Dec,Whitefield,1 BHK,,624,1,1,63
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Pao 3ow,1060,2,1,86
Super built-up  Area,20-Dec,Hebbal,4 BHK,Cehosy ,3960,5,3,414
Plot  Area,18-Aug,Whitefield,2 Bedroom,,1200,2,1,73
Plot  Area,Ready To Move,Vidyaranyapura,4 Bedroom,,1200,4,2,203
Built-up  Area,Ready To Move,Sarjapur,4 BHK,,1917,3,0,88
Super built-up  Area,Ready To Move,KR Puram,2 BHK,HovasTe,950,2,1,68
Plot  Area,18-Dec,Channasandra,2 Bedroom,,3040,2,1,76
Super built-up  Area,18-May,BTM 2nd Stage,3 BHK,,1250,3,1,78
Super built-up  Area,Ready To Move,Vishwapriya Layout,2 BHK,Sanumn ,1235,2,2,88
Super built-up  Area,Ready To Move,Budigere,1 BHK,PrityTr,722,1,0,74
Plot  Area,Ready To Move,Kanakpura Road,4 Bedroom,ColeyNa,2775,3,1,193
Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Mades G,1200,2,1,121
Built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,,1400,3,,96
Built-up  Area,Ready To Move,Mallathahalli,3 BHK,Viers S,1225,3,3,88
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,1220,2,1,86.5
Super built-up  Area,Ready To Move,Nagavarapalya,1 BHK,PuonsSe,705,1,1,80.5
Super built-up  Area,Ready To Move,Battarahalli,3 BHK,PaontWa,1880,3,2,122.36
Plot  Area,Ready To Move,Yelahanka,2 Bedroom,,1200,2,1,98
Built-up  Area,Ready To Move,Doddakammanahalli,3 BHK,SrarkSk,1550,2,1,88
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1893,3,1,158
Super built-up  Area,Ready To Move,HMT Layout,3 BHK,LoentKr,1650,3,2,103
Built-up  Area,Ready To Move,Chikkathoguru,2 BHK,Srvasi ,1113,2,2,74
Plot  Area,Ready To Move,BEL Road,2 Bedroom,,1500,2,0,231
Plot  Area,Ready To Move,Kamakshipalya,9 Bedroom,,1800,9,1,208
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,MJtumty,1586,3,3,98
Plot  Area,Ready To Move,Seegehalli,3 Bedroom,Chorda ,4000,3,1,263
Super built-up  Area,Ready To Move,Yelahanka New Town,3 BHK,SPllain,1541,3,3,108
Super built-up  Area,18-Dec,Haralur Road,3 BHK,SNnia E,1830,3,2,129
Super built-up  Area,Ready To Move,Kodigehalli,2 BHK,,1200,2,2,76
Plot  Area,Ready To Move,Bidrahalli,3 Bedroom,,1800,2,0,100
Super built-up  Area,18-Jun,Bommasandra,2 BHK,SSestth,1015,2,1,68
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1120,2,2,65.95
Super built-up  Area,21-Dec,Hoodi,1 BHK,GoAirej,706,1,1,76.24
Plot  Area,Ready To Move,Medi Agrahara,4 Bedroom,,1350,4,2,113
Plot  Area,Ready To Move,Kumaraswami Layout,6 Bedroom,,610,4,,123
Plot  Area,Ready To Move,Kanakpura Road,3 Bedroom,ColeyNa,1900,3,1,127
Plot  Area,Ready To Move,Harlur,4 Bedroom,,1200,4,,271
Built-up  Area,Ready To Move,Seegehalli,4 BHK,Paoliy ,3000,5,3,178
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2,1,70
Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,Soazak ,1290,2,3,108
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,SuBayin,1200,2,1,78
Built-up  Area,Ready To Move,Hormavu,2 BHK,Naandit,1150,2,1,81.11
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1360,2,3,89.2
Carpet  Area,Ready To Move,4th Block Koramangala,9 BHK,,4500,9,,528
Super built-up  Area,20-Dec,whitefiled,2 BHK,,935,2,1,60.73
Super built-up  Area,Ready To Move,Cox Town,3 BHK,ElentAp,1730,3,3,168
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,,1260,2,2,81
Built-up  Area,Ready To Move,Banagiri Nagar,6 Bedroom,,675,6,2,153
Plot  Area,Ready To Move,Marathahalli,4 Bedroom,,4000,4,1,678
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,950,2,1,73.68
Plot  Area,Ready To Move,Subbannaiah Palya,2 Bedroom,,600,3,2,113
Built-up  Area,Ready To Move,Vadarpalya,5 Bedroom,,2500,5,2,148
Super built-up  Area,17-May,Hegde Nagar,4 BHK,SoisoCa,3216,5,2,328
Plot  Area,Ready To Move,N R Layout,6 Bedroom,,800,3,2,148
Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1991,4,2,116
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Shthi S,1115,2,1,88
Super built-up  Area,Ready To Move,Koramangala,3 BHK,Gencysi,1900,3,3,178
Super built-up  Area,18-May,Whitefield,2 BHK,SMuilan,1109,2,1,69.49
Super built-up  Area,Ready To Move,Rajiv Nagar,4 BHK,PuoodSk,2340,5,1,157
Plot  Area,Ready To Move,Judicial Layout,6 Bedroom,,1200,6,2,328
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Chllea ,4356,5,1,878
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,NaensGa,1005,2,1,71
Super built-up  Area,19-Aug,Kengeri,1 BHK,VBn 2lm,416,1,1,47.5
Super built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,NCaveun,1394,2,1,128
Super built-up  Area,Ready To Move,Harlur,3 BHK,SrEndPo,2138,3,2,138
Built-up  Area,Ready To Move,Richards Town,3 BHK,Arata A,1550,3,2,188
Super built-up  Area,Ready To Move,Nagavarapalya,3 BHK,Giconal,1300,3,1,108
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,1265,2,2,110
Built-up  Area,Ready To Move,Manorayana Palya,2 BHK,,1140,2,2,80
Carpet  Area,Ready To Move,BCC Layout,2 BHK,Mae 1Ar,1050,2,3,68
Built-up  Area,Ready To Move,Thanisandra,2 BHK,,1100,2,1,76
Super built-up  Area,18-May,Varthur,2 BHK,Soamsay,1012,2,1,87
Plot  Area,18-May,Varthur,4 Bedroom,Darsh S,1600,4,3,140
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Niareum,1326,2,2,85
Built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,,1654,2,3,113
Plot  Area,Ready To Move,Jeevan bima nagar,3 Bedroom,,1705,2,1,318
Super built-up  Area,Ready To Move,Chikkalasandra,2 BHK,,1070,2,1,70.8
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Brony H,1700,3,2,123
Carpet  Area,18-Dec,Bhoganhalli,2 BHK,Rosha I,910.2,2,1,108.64
Super built-up  Area,Ready To Move,Kogilu,2 BHK,,1140,2,2,78.66
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Skensk ,4960,4,3,428
Super built-up  Area,18-Aug,Talaghattapura,3 BHK,Sodgere,2254,3,2,198
Super built-up  Area,22-Mar,Kanakapura,2 BHK,,945,2,1,75
Super built-up  Area,19-Aug,Begur Road,4 BHK,Pruthg ,2462,6,2,178
Plot  Area,Ready To Move,Giri Nagar,3 Bedroom,,1350,3,0,268
Super built-up  Area,19-Dec,Marathahalli,1 BHK,PrensKe,615,1,1,72
Plot  Area,Ready To Move,Ramamurthy Nagar,2 Bedroom,,1110,2,0,93
Super built-up  Area,18-Mar,Haralur Road,1 BHK,SNnia E,575,1,1,116
Super built-up  Area,18-Jul,Electronic City,2 BHK,GMown E,1025,2,1,82.1
Built-up  Area,Ready To Move,Vinayak Nagar,3 BHK,Niarknt,1758,3,2,123
Super built-up  Area,18-Dec,Gopalapura,4 BHK,Sothadr,3179,5,3,379
Super built-up  Area,Ready To Move,Kaikondrahalli,3 BHK,Srsica ,1342,3,3,120
Super built-up  Area,Ready To Move,Kalyan nagar,3 BHK,AgaveEn,1800,3,2,113
Built-up  Area,18-Feb,Whitefield,4 BHK,,2928,4,3,226
Built-up  Area,Ready To Move,Doddathoguru,2 BHK,,1140,2,3,60
Super built-up  Area,18-Jul,Raja Rajeshwari Nagar,2 BHK,Prllsan,1608,2,2,113
Super built-up  Area,Ready To Move,Kadugodi,3 BHK,,1645,2,2,110
Super built-up  Area,18-Dec,Ramamurthy Nagar,3 BHK,Vaharvi,1410,2,1,84.4
Super built-up  Area,Ready To Move,Harlur,2 BHK,,1200,2,2,80
Super built-up  Area,18-Jun,8th Phase JP Nagar,3 BHK,,1275,2,2,69.5
Built-up  Area,Ready To Move,Dodda Nekkundi,4 Bedroom,Adstah ,3800,4,2,628
Super built-up  Area,Ready To Move,Kada Agrahara,3 BHK,CoaveAt,909,2,1,68
Built-up  Area,Ready To Move,Basavanapura,2 Bedroom,,1200,3,0,113
Super built-up  Area,Ready To Move,Kalyan nagar,2 BHK,NCold G,1080,2,2,101
Plot  Area,Ready To Move,Madanayakahalli,2 Bedroom,,1200,2,1,62
Super built-up  Area,18-May,Akshaya Nagar,2 BHK,Suiumy ,1092,2,1,88
Super built-up  Area,Ready To Move,Jalahalli,3 BHK,Prensin,1932,4,3,163
Super built-up  Area,Ready To Move,KR Puram,2 BHK,SVlesas,1156,2,1,100
Super built-up  Area,Ready To Move,Bellandur,2 BHK,,924,2,2,63.11
Super built-up  Area,Ready To Move,Thubarahalli,2 BHK,Kenia G,1330,2,1,103
Super built-up  Area,18-Apr,Thanisandra,3 BHK,Bhmesy ,1917,4,2,141
Super built-up  Area,18-Sep,Chandapura,2 BHK,SunceEs,985,2,1,53.12
Plot  Area,Ready To Move,Mahalakshmi Puram,6 Bedroom,,2400,6,2,436
Plot  Area,Ready To Move,Richmond Town,4 Bedroom,,1800,5,2,528
Plot  Area,Ready To Move,Mahalakshmi Puram,2 Bedroom,,1290,1,0,253
Super built-up  Area,19-Jun,Kodigehalli,1 BHK,,655,1,1,81
Built-up  Area,Ready To Move,4th Block Koramangala,3 BHK,,1800,3,3,168
Built-up  Area,Ready To Move,Margondanahalli,4 Bedroom,,1360,2,2,73
Super built-up  Area,Ready To Move,Bellandur,3 BHK,Krala D,1785,3,3,146
Super built-up  Area,Ready To Move,Kadugodi,7 BHK,,4000,7,2,158
Super built-up  Area,19-Jun,Hebbal,3 BHK,Raard B,1645,3,2,148
Super built-up  Area,Ready To Move,Gottigere,2 BHK,Sklls C,1235,2,2,91
Plot  Area,Ready To Move,Anandapura,2 Bedroom,,900,2,0,76
Super built-up  Area,Ready To Move,Thanisandra,1 BHK,Pronyt ,662,1,1,70
Plot  Area,Ready To Move,TC Palaya,5 Bedroom,,1440,5,1,128
Super built-up  Area,18-Dec,Whitefield,2 BHK,Suhamra,1215,2,1,90
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,Prityel,845,2,1,65
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Ahriaup,1525,2,2,115
Built-up  Area,Ready To Move,Jaladarsini Layout,2 BHK,DiaveEn,1000,2,2,76
Super built-up  Area,19-Dec,Hebbal,3 BHK,Magiaya,1255,2,1,118
Super built-up  Area,Ready To Move,Mysore Road,3 BHK,PrntaEn,1560,3,2,148
Built-up  Area,Ready To Move,Kasavanhalli,3 Bedroom,,2100,3,3,138
Super built-up  Area,Ready To Move,Kodichikkanahalli,3 BHK,Suntsan,1620,2,2,113
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,PuilaMi,1595,3,2,118
Super built-up  Area,18-May,Basavanapura,2 BHK,,1095,2,2,66.52
Built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,NaensGa,835,2,0,65
Super built-up  Area,18-Oct,Hennur Road,3 BHK,DSapeSk,2182,3,2,100.04
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,,1418,2,2,134
Super built-up  Area,18-Apr,Sanjay nagar,3 BHK,,1900,2,2,208
Super built-up  Area,20-Sep,Whitefield,3 BHK,Goted U,2700,5,2,203
Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,Rencyes,1070,2,1,76
Plot  Area,Ready To Move,Ramamurthy Nagar,9 Bedroom,,2000,9,2,178
Plot  Area,Ready To Move,Munnekollal,43 Bedroom,,2400,40,0,688
Super built-up  Area,18-Dec,Electronics City Phase 1,1 BHK,Shitt S,755,1,1,70.41
Super built-up  Area,19-Mar,Hebbal,3 BHK,Raard B,1645,3,2,145
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,,2400,3,2,218
Super built-up  Area,18-Jul,Chandapura,1 BHK,SunceEs,645,1,1,44.45
Built-up  Area,19-Mar,4th T block Jayanagar,4 BHK,,3900,4,,361
Plot  Area,Ready To Move,Attur Layout,3 Bedroom,,2400,4,2,228
Plot  Area,Ready To Move,1st Block HRBR Layout,10 Bedroom,,2416,10,,628
Built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,SNavenc,919,2,0,56
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Hiate F,1725,3,,138
Super built-up  Area,18-Apr,Sarjapur  Road,2 BHK,PualeSk,1346,2,1,99.32
Built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Coush W,1070,2,2,73
Super built-up  Area,Ready To Move,Begur Road,2 BHK,SLtalry,1225,2,1,63.52
Plot  Area,Ready To Move,Sarakki Nagar,6 Bedroom,,880,6,2,103
Built-up  Area,Ready To Move,Neeladri Nagar,1 BHK,Guenoa ,640,1,1,48.5
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,,1310,2,1,80.4
Super built-up  Area,Ready To Move,Kanakapura,2 BHK,,1190,2,2,67
Super built-up  Area,Ready To Move,Basavanna Nagar,3 BHK,Itala A,1645,3,2,115.5
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Asintas,1350,2,1,117
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1404,2,1,96.8
Super built-up  Area,18-Apr,Electronic City,3 BHK,Sie 2is,1105,2,1,63
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,900,2,1,69
Plot  Area,Ready To Move,A Narayanapura,4 Bedroom,,1650,4,3,348
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,,1100,2,1,69.15
Built-up  Area,Ready To Move,Thanisandra,4 Bedroom,,2100,4,1,123
Super built-up  Area,18-May,Thanisandra,3 BHK,Bhmesy ,1948,3,2,158
Super built-up  Area,Ready To Move,Singasandra,3 BHK,,1464,3,2,84
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,,1210,2,2,73
Built-up  Area,Ready To Move,Yelahanka,5 Bedroom,,4000,5,2,248
Super built-up  Area,Ready To Move,Brooke Bond First Cross,2 BHK,Viium E,1252,2,2,83
Plot  Area,Ready To Move,Nagarbhavi,5 Bedroom,,1200,4,3,268
Super built-up  Area,Ready To Move,Sarjapur  Road,5 BHK,Maana E,3905,7,,318
Super built-up  Area,Ready To Move,Kundalahalli Colony,3 BHK,Goourta,2600,3,2,168
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Axdam V,1300,3,2,117.13
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,1130,2,2,101
Plot  Area,Ready To Move,Budigere,4 Bedroom,,1200,3,0,163
Built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1690,3,2,153
Built-up  Area,Ready To Move,Padmanabhanagar,3 Bedroom,,4500,4,2,388
Super built-up  Area,Ready To Move,Tasker Town,2 BHK,,950,2,1,88
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Aiitya ,1020,2,1,85
Built-up  Area,19-Dec,"Hoodi Circle, ",4 BHK,,2107,4,3,123
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,,1735,3,2,100
Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Shthi S,915,2,2,65
Super built-up  Area,Ready To Move,Glass Factory Layout,3 BHK,VMlet C,1450,3,3,96
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,2215,4,2,184
Super built-up  Area,Ready To Move,Raghavendra Nagar,3 BHK,Keony H,2431,3,1,128
Super built-up  Area,18-Aug,Hennur Road,3 BHK,Puachal,1804,3,2,130
Super built-up  Area,18-Apr,Marathahalli,2 BHK,PuilaMi,1600,3,2,116
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Revane ,1280,2,2,103
Super built-up  Area,19-Dec,Hebbal,3 BHK,Magiaya,1255,3,2,105.68
Super built-up  Area,Ready To Move,Koramangala,2 BHK,Proodt ,1320,2,1,178
Super built-up  Area,Ready To Move,Hoodi,2 BHK,Keers S,1257,2,1,97
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1240,2,1,81.27
Plot  Area,Ready To Move,Milk Colony,4 Bedroom,,1200,4,2,268
Plot  Area,Ready To Move,Bannerghatta Road,6 Bedroom,Upoutks,1850,6,3,178
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,RatosAr,1255,2,3,94
Super built-up  Area,Ready To Move,Ananth Nagar,2 BHK,,870,2,2,64
Super built-up  Area,Ready To Move,Tumkur Road,3 BHK,Soubya ,1789,3,2,126
Plot  Area,Ready To Move,Basaveshwara Nagar,6 Bedroom,,800,6,2,138
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,660,1,1,46
Plot  Area,Ready To Move,"Basnashankari,6th stage,",3 Bedroom,,600,3,1,82
Super built-up  Area,Ready To Move,Coffee Board Layout,2 BHK,Tepleee,1155,2,3,84
Super built-up  Area,Ready To Move,R.T. Nagar,2 BHK,Siilka ,1235,2,2,93
Plot  Area,Ready To Move,Yelahanka,4 Bedroom,Edreelm,2675,4,2,168
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,Madener,1025,2,2,78
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,AcisePa,1395,2,2,100
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Sovar S,1530,2,2,102.4
Super built-up  Area,Ready To Move,Dodda Nekkundi,3 BHK,Brity U,1252,2,1,99
Super built-up  Area,18-Aug,Hennur Road,2 BHK,DSeldpr,1081,2,1,58.27
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,Ozensve,1255,3,1,158
Super built-up  Area,Ready To Move,Ardendale,4 BHK,AWharde,2062,3,,178
Super built-up  Area,Ready To Move,Choodasandra,3 BHK,GRhtiru,1220,3,2,84
Built-up  Area,Ready To Move,Jigani,3 Bedroom,,1408,2,0,83
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1180,2,1,88
Super built-up  Area,Ready To Move,Sarjapur  Road,1 BHK,Shthi S,715,1,2,57
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Jauraht,1230,2,3,122.5
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,Gincyi ,1035,2,2,73.5
Super built-up  Area,Ready To Move,EPIP Zone,4 BHK,BrontLa,3360,5,0,253
Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,Prone M,1300,3,2,105.99
Super built-up  Area,21-Feb,Kanakpura Road,3 BHK,PrarePa,1100,3,1,80.97
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Prtates,1216,2,1,112
Super built-up  Area,18-Aug,Shirdi Sai Layout,2 BHK,,1450,2,3,90.63
Super built-up  Area,Ready To Move,Nagavarapalya,1 BHK,PuonsSe,705,1,1,85
Super built-up  Area,Ready To Move,Gottigere,3 BHK,JaghtDe,1385,3,2,92
Plot  Area,18-May,Anekal,2 Bedroom,,1200,2,1,64.1
Super built-up  Area,18-Jul,Electronic City Phase II,3 BHK,Sryalan,1310,2,1,60.75
Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Amionce,1043,2,1,67.5
Super built-up  Area,Ready To Move,Koramangala,2 BHK,Saace P,1320,2,2,138
Super built-up  Area,Ready To Move,Near ullas theater,3 BHK,,1900,3,2,233
Super built-up  Area,Ready To Move,Varthur,2 BHK,DSingSt,1140,2,2,67.9
Built-up  Area,Ready To Move,Kadugodi,2 BHK,K tlete,1100,2,1,73
Super built-up  Area,18-Sep,Hebbal,3 BHK,Arcia S,1586,3,2,118
Super built-up  Area,18-Aug,Chandapura,2 BHK,SunceEs,975,2,1,52.86
Built-up  Area,Ready To Move,Amruthnagar,2 BHK,Saeur G,1365,3,2,88
Super built-up  Area,18-Dec,Rajaji Nagar,2 BHK,ProdsWe,1263,2,0,135
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1565,2,2,87.76
Plot  Area,Ready To Move,Karuna Nagar,3 Bedroom,CoinoCu,1163,3,2,208
Super built-up  Area,19-Sep,Whitefield,4 BHK,Prtates,2882,5,1,232
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Samittv,2320,3,2,198
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Soisy D,1750,3,3,127
Super built-up  Area,Ready To Move,Kudlu,2 BHK,GKityel,1143,2,1,83
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,SaireSa,1936,3,1,146
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,660,1,1,43
Super built-up  Area,Ready To Move,Chandapura,2 BHK,KHityry,700,1,1,47
Super built-up  Area,Ready To Move,Chikkakannalli,3 BHK,,1402,2,2,113
Built-up  Area,Ready To Move,Hebbal,4 BHK,Emceske,4640,4,2,628
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itvir M,1000,2,2,69
Super built-up  Area,Ready To Move,Gottigere,2 BHK,Srncyla,1000,2,1,63
Super built-up  Area,20-Dec,Kengeri Satellite Town,2 BHK,DSestSt,818,2,1,54
Built-up  Area,Ready To Move,Bommenahalli,4 Bedroom,Prana S,1680,3,0,163
Super built-up  Area,Ready To Move,Kalyan nagar,4 BHK,Satle C,2422,3,2,178
Super built-up  Area,Ready To Move,Indira Nagar,2 BHK,Gonorir,1145,2,2,128
Super built-up  Area,18-Aug,Chandapura,3 BHK,SunceEs,1190,2,2,58.35
Super built-up  Area,20-Aug,Sarjapur  Road,2 BHK,Ahciace,1145,2,1,90
Super built-up  Area,Ready To Move,Somasundara Palya,3 BHK,,1575,3,3,96
Plot  Area,Ready To Move,Bannerghatta Road,3 Bedroom,,9000,4,1,418
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,,1200,2,2,74
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,,1500,2,2,91
Built-up  Area,Ready To Move,Ramamurthy Nagar,4 BHK,,2560,4,2,103
Super built-up  Area,Ready To Move,Kothanur,3 BHK,,1583,3,3,104.1
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700,2,1,62.98
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,Saavenc,950,2,0,66
Super built-up  Area,Ready To Move,Banashankari,2 BHK,,1041,2,1,64.44
Super built-up  Area,Ready To Move,Thubarahalli,2 BHK,Adity S,1085,2,1,98
Super built-up  Area,18-Aug,Anjanapura,2 BHK,,1070,2,2,65
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,MaaveDu,1165,2,1,73
Built-up  Area,Ready To Move,Bommasandra,2 BHK,RKhipwn,1000,2,1,63
Super built-up  Area,19-Dec,Horamavu Agara,2 BHK,Prhar G,1169,2,1,92
Built-up  Area,Ready To Move,A Narayanapura,4 Bedroom,,1150,4,1,138
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Brony H,1840,3,2,168
Built-up  Area,Ready To Move,Bhuvaneswari Nagar,3 BHK,RRersow,1550,3,1,103
Super built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,,997,2,3,81
Built-up  Area,18-Mar,Gunjur,2 BHK,Paestol,1457,2,3,88
Super built-up  Area,Ready To Move,ISRO Layout,2 BHK,,1000,2,1,88
Plot  Area,Ready To Move,KR Puram,2 Bedroom,,1000,2,0,88
Plot  Area,Ready To Move,Sarjapur  Road,3 Bedroom,Pelle P,1500,3,2,116
Plot  Area,Ready To Move,Cottonpet,5 Bedroom,,958,3,1,238
Built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1165,2,2,103
Plot  Area,Ready To Move,Upkar Layout,7 Bedroom,,1200,7,3,197
Super built-up  Area,19-Jan,Kasavanhalli,3 BHK,,1787,3,2,151
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,,1288,2,1,98
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,MenueNo,1430,2,2,82.11
Super built-up  Area,18-Mar,Hulimavu,3 BHK,Vapasrk,3035,5,,299
Super built-up  Area,Ready To Move,Doddathoguru,1 BHK,,750,1,1,53.5
Plot  Area,Ready To Move,Yelachenahalli,4 Bedroom,BaiseBa,900,2,1,143
Plot  Area,18-Jun,Channasandra,3 Bedroom,,1200,3,1,95.77
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1500,2,1,106
Super built-up  Area,Ready To Move,Ambalipura,2 BHK,,1230,2,2,94.25
Super built-up  Area,Ready To Move,Marathahalli,1 BHK,Asintas,780,1,1,83
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,PrliaRe,1220,2,1,108
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Shine S,1110,2,2,71
Super built-up  Area,Ready To Move,Yeshwanthpur Industrial Suburb,3 BHK,,2100,3,2,268
Plot  Area,Ready To Move,Hosakerehalli,9 Bedroom,,1380,9,0,178
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,,1690,3,2,113
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,PrarePa,1130,2,2,106
Super built-up  Area,20-Dec,Electronic City,2 BHK,KonteiT,1213,2,1,87.32
Super built-up  Area,Ready To Move,Kengeri,2 BHK,BDlexHo,900,2,2,73
Super built-up  Area,Ready To Move,Panathur,2 BHK,Prcesvy,1199,2,1,113
Plot  Area,Ready To Move,Nandi Hills,4 Bedroom,,5000,4,2,318
Super built-up  Area,18-Mar,Bhoganhalli,4 BHK,Rosha I,1974 - 2171,,,139
Plot  Area,Ready To Move,Bellandur,7 Bedroom,,700,8,0,128
Super built-up  Area,20-Dec,Uttarahalli,1 BHK,PrdgeLa,661,1,1,64
Super built-up  Area,19-Dec,Thanisandra main road,2 BHK,,1804,2,1,313
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Asintas,1710,3,2,128
Built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,Malowr ,1030,2,2,78
Super built-up  Area,Ready To Move,Choodasandra,3 BHK,GRhtiru,1220,3,2,84
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,,1530,3,2,101.5
Plot  Area,18-Apr,Ramamurthy Nagar,2 Bedroom,,1200,2,1,106
Super built-up  Area,Ready To Move,Rajarajeshwari nagar,3 BHK,,2000,3,2,113
Carpet  Area,Ready To Move,Nagarbhavi,1 BHK,,300,1,1,48
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Soweray,1751,2,1,143
Built-up  Area,Ready To Move,R.T. Nagar,2 Bedroom,Sants A,800,1,0,198
Super built-up  Area,Ready To Move,Panathur,2 BHK,Saarep ,1255,2,2,107
Super built-up  Area,20-Nov,Whitefield,3 BHK,PritaDo,1778,3,2,150
Super built-up  Area,Ready To Move,Ashirvad Colony,2 BHK,Swhtsna,1100,2,1,73
